host,node_role,cluster,manufacturer,model,serialnumber,sku,memory,processor_mode,processor_count,processor_cores,processor_cores_total,chassis_bay,mac_addresses
wrk-49.nerc-ocp-prod.rc.fas.harvard.edu,openshift_worker,nerc-ocp-prod,Dell Inc.,PowerEdge FC430,CN7016372D00AC,JGDBKH2,128.0,Intel(R) Xeon(R) CPU E5-2640 v4 @ 2.40GHz,2,10,20,,"10:7D:1A:C2:DB:2F,10:7D:1A:C2:DB:32"
wrk-50.nerc-ocp-prod.rc.fas.harvard.edu,openshift_worker,nerc-ocp-prod,Dell Inc.,PowerEdge FC430,CN7016372N002E,JGD9KH2,128.0,Intel(R) Xeon(R) CPU E5-2640 v4 @ 2.40GHz,2,10,20,,"10:7D:1A:C2:DA:A9,10:7D:1A:C2:DA:AC"
wrk-51.nerc-ocp-prod.rc.fas.harvard.edu,openshift_worker,nerc-ocp-prod,Dell Inc.,PowerEdge FC430,CN7016372D0074,JGD3KH2,128.0,Intel(R) Xeon(R) CPU E5-2640 v4 @ 2.40GHz,2,10,20,,"10:7D:1A:C2:E0:E7,10:7D:1A:C2:E0:EA"
wrk-52.nerc-ocp-prod.rc.fas.harvard.edu,openshift_worker,nerc-ocp-prod,Dell Inc.,PowerEdge FC430,CN7016372D006U,JGD8KH2,128.0,Intel(R) Xeon(R) CPU E5-2640 v4 @ 2.40GHz,2,10,20,,"10:7D:1A:C2:DA:5B,10:7D:1A:C2:DA:5E"
wrk-53.nerc-ocp-prod.rc.fas.harvard.edu,openshift_worker,nerc-ocp-prod,Dell Inc.,PowerEdge FC430,CN7016372D00EE,JGD4KH2,128.0,Intel(R) Xeon(R) CPU E5-2640 v4 @ 2.40GHz,2,10,20,,"10:7D:1A:C2:DC:9D,10:7D:1A:C2:DC:A0"
wrk-54.nerc-ocp-prod.rc.fas.harvard.edu,openshift_worker,nerc-ocp-prod,Dell Inc.,PowerEdge FC430,CN7016372D0023,JVBVHH2,128.0,Intel(R) Xeon(R) CPU E5-2640 v4 @ 2.40GHz,2,10,20,,"10:7D:1A:C2:DA:C3,10:7D:1A:C2:DA:C6"
wrk-55.nerc-ocp-prod.rc.fas.harvard.edu,openshift_worker,nerc-ocp-prod,Dell Inc.,PowerEdge FC430,CN7016372N000Y,JVBTDH2,119.209344,Intel(R) Xeon(R) CPU E5-2640 v4 @ 2.40GHz,2,10,20,,"10:7D:1A:C2:E2:55,10:7D:1A:C2:E2:58"
wrk-56.nerc-ocp-prod.rc.fas.harvard.edu,openshift_worker,nerc-ocp-prod,Dell Inc.,PowerEdge FC430,CNWS30086H0013,4WX61Q2,128.0,Intel(R) Xeon(R) CPU E5-2640 v4 @ 2.40GHz,2,10,20,,"50:9A:4C:91:94:1D,50:9A:4C:91:94:1F"
wrk-57.nerc-ocp-prod.rc.fas.harvard.edu,openshift_worker,nerc-ocp-prod,Dell Inc.,PowerEdge FC430,CNWS30086H0020,4WX81Q2,128.0,Intel(R) Xeon(R) CPU E5-2640 v4 @ 2.40GHz,2,10,20,,"50:9A:4C:8F:05:5D,50:9A:4C:8F:05:5F"
wrk-58.nerc-ocp-prod.rc.fas.harvard.edu,openshift_worker,nerc-ocp-prod,Dell Inc.,PowerEdge FC430,CNWS30086H007E,4WX1HQ2,128.0,Intel(R) Xeon(R) CPU E5-2640 v4 @ 2.40GHz,2,10,20,,"50:9A:4C:91:91:51,50:9A:4C:91:91:53"
wrk-59.nerc-ocp-prod.rc.fas.harvard.edu,openshift_worker,nerc-ocp-prod,Dell Inc.,PowerEdge FC430,CNWS30086H001D,4WX71Q2,128.0,Intel(R) Xeon(R) CPU E5-2640 v4 @ 2.40GHz,2,10,20,,"50:9A:4C:91:93:01,50:9A:4C:91:93:03"
wrk-60.nerc-ocp-prod.rc.fas.harvard.edu,openshift_worker,nerc-ocp-prod,Dell Inc.,PowerEdge FC430,CNWS30086H006B,4WX0HQ2,128.0,Intel(R) Xeon(R) CPU E5-2640 v4 @ 2.40GHz,2,10,20,,"50:9A:4C:8F:03:E9,50:9A:4C:8F:03:EB"
wrk-61.nerc-ocp-prod.rc.fas.harvard.edu,openshift_worker,nerc-ocp-prod,Dell Inc.,PowerEdge FC430,CNWS30086H003T,4WWZGQ2,128.0,Intel(R) Xeon(R) CPU E5-2640 v4 @ 2.40GHz,2,10,20,,"50:9A:4C:91:95:85,50:9A:4C:91:95:87"
wrk-62.nerc-ocp-prod.rc.fas.harvard.edu,openshift_worker,nerc-ocp-prod,Dell Inc.,PowerEdge FC430,CNWS30086H009C,4WW81Q2,128.0,Intel(R) Xeon(R) CPU E5-2640 v4 @ 2.40GHz,2,10,20,,"50:9A:4C:8F:03:F9,50:9A:4C:8F:03:FB"
wrk-63.nerc-ocp-prod.rc.fas.harvard.edu,openshift_worker,nerc-ocp-prod,Dell Inc.,PowerEdge FC430,CNWS30086H0005,4WXZGQ2,128.0,Intel(R) Xeon(R) CPU E5-2640 v4 @ 2.40GHz,2,10,20,,"50:9A:4C:8F:05:45,50:9A:4C:8F:05:47"
wrk-64.nerc-ocp-prod.rc.fas.harvard.edu,openshift_worker,nerc-ocp-prod,Dell Inc.,PowerEdge FC430,CNWS30085F002C,CZLX0Q2,128.0,Intel(R) Xeon(R) CPU E5-2640 v4 @ 2.40GHz,2,10,20,,"A8:99:69:4B:9E:41,A8:99:69:4B:9E:44"
wrk-65.nerc-ocp-prod.rc.fas.harvard.edu,openshift_worker,nerc-ocp-prod,Dell Inc.,PowerEdge FC430,CN701636CT0085,DR58DH2,89.407008,Intel(R) Xeon(R) CPU E5-2640 v4 @ 2.40GHz,2,10,20,,"A8:99:69:4B:9F:2F,A8:99:69:4B:9F:32"
wrk-66.nerc-ocp-prod.rc.fas.harvard.edu,openshift_worker,nerc-ocp-prod,Dell Inc.,PowerEdge FC430,CNWS30085F007N,CZLZ0Q2,128.0,Intel(R) Xeon(R) CPU E5-2640 v4 @ 2.40GHz,2,10,20,,"A8:99:69:4B:9E:A9,A8:99:69:4B:9E:AC"
wrk-67.nerc-ocp-prod.rc.fas.harvard.edu,openshift_worker,nerc-ocp-prod,Dell Inc.,PowerEdge FC430,CNWS30085F0013,CZMS0Q2,128.0,Intel(R) Xeon(R) CPU E5-2640 v4 @ 2.40GHz,2,10,20,,"A8:99:69:4B:A4:E7,A8:99:69:4B:A4:EA"
wrk-68.nerc-ocp-prod.rc.fas.harvard.edu,openshift_worker,nerc-ocp-prod,Dell Inc.,PowerEdge FC430,CNWS30085F000X,CZMT0Q2,128.0,Intel(R) Xeon(R) CPU E5-2640 v4 @ 2.40GHz,2,10,20,,"A8:99:69:4B:9E:5B,A8:99:69:4B:9E:5E"
wrk-69.nerc-ocp-prod.rc.fas.harvard.edu,openshift_worker,nerc-ocp-prod,Dell Inc.,PowerEdge FC430,CNWS300859000G,H9K41Q2,128.0,Intel(R) Xeon(R) CPU E5-2640 v4 @ 2.40GHz,2,10,20,,"A8:99:69:4B:A0:9D,A8:99:69:4B:A0:A0"
wrk-70.nerc-ocp-prod.rc.fas.harvard.edu,openshift_worker,nerc-ocp-prod,Dell Inc.,PowerEdge FC430,CN701636B200B0,DR54DH2,89.407008,Intel(R) Xeon(R) CPU E5-2640 v4 @ 2.40GHz,2,10,20,,"A8:99:69:4B:9E:C3,A8:99:69:4B:9E:C6"
wrk-71.nerc-ocp-prod.rc.fas.harvard.edu,openshift_worker,nerc-ocp-prod,Dell Inc.,PowerEdge FC430,CNWS30092I004T,DRZGZV2,119.209344,Intel(R) Xeon(R) CPU E5-2640 v4 @ 2.40GHz,2,10,20,,"A8:99:69:4B:A6:55,A8:99:69:4B:A6:58"
wrk-72.nerc-ocp-prod.rc.fas.harvard.edu,openshift_worker,nerc-ocp-prod,Dell Inc.,PowerEdge FC430,CN7016372N00GF,JVBNDH2,128.0,Intel(R) Xeon(R) CPU E5-2640 v4 @ 2.40GHz,2,10,20,,"10:7D:1A:9D:F5:81,10:7D:1A:9D:F5:84"
wrk-73.nerc-ocp-prod.rc.fas.harvard.edu,openshift_worker,nerc-ocp-prod,Dell Inc.,PowerEdge FC430,CN7016372N000Q,JVBNJH2,119.209344,Intel(R) Xeon(R) CPU E5-2640 v4 @ 2.40GHz,2,10,20,,"10:7D:1A:9D:F6:6F,10:7D:1A:9D:F6:72"
wrk-74.nerc-ocp-prod.rc.fas.harvard.edu,openshift_worker,nerc-ocp-prod,Dell Inc.,PowerEdge FC430,CN7016372N00DL,JVBQDH2,128.0,Intel(R) Xeon(R) CPU E5-2640 v4 @ 2.40GHz,2,10,20,,"10:7D:1A:9D:F5:E9,10:7D:1A:9D:F5:EC"
wrk-75.nerc-ocp-prod.rc.fas.harvard.edu,openshift_worker,nerc-ocp-prod,Dell Inc.,PowerEdge FC430,CN7016372N004S,JVBPHH2,119.209344,Intel(R) Xeon(R) CPU E5-2640 v4 @ 2.40GHz,2,10,20,,"10:7D:1A:9D:FC:27,10:7D:1A:9D:FC:2A"
